onset	duration	trial_type	value	sample
0.0	1.0	bad	1	0
1.0	1.0	bad	1	1000
46.0	1.0	bad	1	46000
47.0	1.0	bad	1	47000
48.0	1.0	bad	1	48000
63.0	1.0	bad	1	63000
64.0	1.0	bad	1	64000
65.0	1.0	bad	1	65000
66.0	1.0	bad	1	66000
67.0	1.0	bad	1	67000
79.0	1.0	bad	1	79000
80.0	1.0	bad	1	80000
97.0	1.0	bad	1	97000
98.0	1.0	bad	1	98000
99.0	1.0	bad	1	99000
105.0	1.0	bad	1	105000
106.0	1.0	bad	1	106000
107.0	1.0	bad	1	107000
110.0	1.0	bad	1	110000
111.0	1.0	bad	1	111000
128.0	1.0	bad	1	128000
129.0	1.0	bad	1	129000
130.0	1.0	bad	1	130000
